X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399994.039999999,139507.420000002,25157897,2025/10/17 01:48:02+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,400 - 499 BLOCK OF DOUGLAS STREET NE,399994.04,139507.42,5,5F,5,502,Cluster 21,009204 1,009204,Precinct 74,38.9234407665,-77.0000687306,,2025/10/16 21:48:00+00,2025/10/17 01:00:00+00,819041639,
398186.039999999,137185.329999998,25142688,2025/09/18 13:22:28+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF K STREET NW,398186.04,137185.33,6,6E,1,101,Cluster 8,004703 2,004703,Precinct 18,38.902520725,-77.0209124198,MOUNT VERNON TRIANGLE CID,2025/09/18 12:04:00+00,2025/09/18 12:06:00+00,819043188,
398764.710000001,138304.289999999,25156942,2025/10/15 12:18:54+00,DAY,OTHERS,THEFT/OTHER,200 - 299 BLOCK OF R STREET NW,398764.71,138304.29,5,5E,3,308,Cluster 21,004600 2,004600,Precinct 19,38.9126017076,-77.0142431775,,2025/10/14 22:59:00+00,2025/10/15 00:40:00+00,819044422,
397003.719999999,138387.859999999,25157435,2025/10/16 00:29:40+00,EVENING,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF 15TH STREET NW,397003.72,138387.86,2,2B,3,301,Cluster 6,005202 2,005202,Precinct 16,38.913350295,-77.0345481602,,2025/10/16 00:23:00+00,2025/10/16 00:23:00+00,819044813,
401480.719099998,135648.0198,25157795,2025/10/17 02:37:19+00,EVENING,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF A STREET SE,401480.719135327,135648.019803312,7,7D,1,107,Cluster 26,006801 2,006801,Precinct 87,38.8886726976,-76.9829326943,,2025/10/16 17:30:00+00,2025/10/16 19:00:00+00,819044814,
402015.079999998,133625.379999999,25158393,2025/10/17 22:54:33+00,EVENING,OTHERS,THEFT/OTHER,1900 - 2099 BLOCK OF MINNESOTA AVENUE SE,402015.08,133625.38,8,8A,6,607,Cluster 34,007601 3,007601,Precinct 133,38.8704509059,-76.9767793876,,2025/10/17 22:50:00+00,2025/10/17 22:51:00+00,819044815,
400232.916299999,135255.095600002,25424166,2025/09/26 15:31:31+00,DAY,OTHERS,THEFT/OTHER,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,400232.916286169,135255.095578947,6,6B,1,107,Cluster 26,006500 1,006500,Precinct 89,38.8851343032,-76.9973154556,CAPITOL HILL,2025/09/26 14:44:00+00,2025/09/26 14:50:00+00,819046032,
397430.939999998,138552.07,25424298,2025/10/04 13:32:35+00,DAY,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF 13TH STREET NW,397430.94,138552.07,1,1B,3,305,Cluster 3,004402 1,004402,Precinct 137,38.9148309063,-77.0296227784,,2024/11/12 22:30:00+00,2024/11/12 22:30:00+00,819046033,
397700.460000001,136611.23,25424301,2025/10/04 14:02:29+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF F STREET NW,397700.46,136611.23,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.8973478904,-77.0265085554,DOWNTOWN,2025/10/03 20:23:00+00,2025/10/03 20:29:00+00,819046034,
396231.979999997,139315.649999999,25424456,2025/10/15 20:02:41+00,EVENING,OTHERS,THEFT/OTHER,1811 - 1852 BLOCK OF COLUMBIA ROAD NW,396231.98,139315.65,1,1C,3,303,Cluster 1,004001 1,004001,Precinct 25,38.9217051624,-77.043451684,ADAMS MORGAN,2025/10/11 16:20:00+00,2025/10/11 16:20:00+00,819046035,
392758.869999997,143179.390000001,25142712,2025/09/18 16:07:42+00,DAY,OTHERS,THEFT F/AUTO,5100 - 5199 BLOCK OF WISCONSIN AVENUE NW,392758.87,143179.39,3,3E,2,202,Cluster 11,001004 1,001004,Precinct 31,38.9564890953,-77.083543312,FRIENDSHIP HEIGHTS,2025/09/17 19:00:00+00,2025/09/17 20:00:00+00,819048090,
401571.960000001,140458.370000001,25142842,2025/09/18 19:20:29+00,EVENING,OTHERS,THEFT F/AUTO,1600 - 1699 BLOCK OF LAWRENCE STREET NE,401571.96,140458.37,5,5B,5,504,Cluster 22,009301 1,009301,Precinct 70,38.9320058152,-76.9818700074,,2025/09/18 17:48:00+00,2025/09/18 18:00:00+00,819048091,
398010.079999998,138818.940000001,25143475,2025/09/19 20:23:59+00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.917236462,-77.0229457261,,2025/09/19 19:40:00+00,2025/09/19 20:30:00+00,819048092,
400437.039999999,136105.809999999,25144253,2025/09/21 05:17:53+00,MIDNIGHT,GUN,ROBBERY,200 - 299 BLOCK OF 8TH STREET NE,400437.04,136105.81,6,6A,1,108,Cluster 25,008100 2,008100,Precinct 85,38.8927977808,-76.9949622272,,2025/09/21 02:23:00+00,,819048093,
393645.649999999,140765.550000001,25144463,2025/09/21 17:56:17+00,DAY,OTHERS,THEFT/OTHER,3700 - 3749 BLOCK OF NEWARK STREET NW,393645.65,140765.55,3,3A,2,204,Cluster 14,001002 4,001002,Precinct 29,38.934751414,-77.0732898841,,2025/09/21 15:36:00+00,2025/09/21 16:32:00+00,819048094,
397085.469999999,142344.98,25145100,2025/09/22 21:06:30+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF DELAFIELD PLACE NW,397085.47,142344.98,4,4E,4,404,Cluster 18,002002 1,002002,Precinct 54,38.948997518,-77.0336223589,,2025/09/22 17:56:00+00,2025/09/22 18:30:00+00,819048095,
400930.140000001,137051.699999999,25145450,2025/09/23 15:18:51+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1200 - 1299 BLOCK OF I STREET NE,400930.14,137051.7,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,38.901318318,-76.9892769685,,2025/09/23 15:12:00+00,2025/09/23 15:14:00+00,819048096,
397855.450000003,143555.5,25146448,2025/09/25 07:23:18+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,800 - 871 BLOCK OF MISSOURI AVENUE NW,397855.45,143555.5,4,4D,4,403,Cluster 18,002101 1,002101,Precinct 58,38.9599044216,-77.0247435652,,2025/09/25 07:15:00+00,,819048097,
397823.780000001,141376.73,25146510,2025/09/25 17:25:25+00,DAY,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF GEORGIA AVENUE NW,397823.78,141376.73,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.940277387,-77.0251020575,,2025/09/25 13:24:00+00,2025/09/25 13:46:00+00,819048098,
397699.990000002,136718.620000001,25147178,2025/09/26 16:50:08+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF G STREET NW,397699.99,136718.62,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.8983152971,-77.026514333,DOWNTOWN,2025/09/26 16:15:00+00,2025/09/26 16:17:00+00,819048099,
399444.210000001,141969.359999999,25149930,2025/10/01 18:45:08+00,DAY,OTHERS,THEFT/OTHER,36 - 99 BLOCK OF HAWAII AVENUE NE,399444.21,141969.36,5,5A,4,405,Cluster 19,009510 2,009510,Precinct 44,38.9456184874,-77.0064113544,,2025/09/15 11:00:00+00,2025/09/15 13:09:00+00,819048100,
407656.2733,136279.011599999,25152188,2025/10/06 00:04:14+00,EVENING,OTHERS,THEFT/OTHER,6200 - 6299 BLOCK OF DIX STREET NE,407656.273317058,136279.011579898,7,7C,6,608,Cluster 31,007808 2,007808,Precinct 96,38.8943248135,-76.9117440124,,2025/10/05 23:18:00+00,2025/10/05 23:45:00+00,819048101,
394269.229999997,137521.710000001,25153170,2025/10/08 00:16:48+00,EVENING,OTHERS,THEFT F/AUTO,1200 - 1227 BLOCK OF 33RD STREET NW,394269.23,137521.71,2,2E,2,206,Cluster 4,000202 3,000202,Precinct 6,38.9055341442,-77.0660705532,,2025/10/07 19:14:00+00,2025/10/07 19:54:00+00,819048102,
397315.960000001,145640.949999999,25153280,2025/10/07 22:15:36+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1322 BLOCK OF FLORAL STREET NW,397315.96,145640.95,4,4A,4,401,Cluster 16,001600 2,001600,Precinct 62,38.9786891718,-77.0309763015,,2025/10/07 17:00:00+00,2025/10/07 18:00:00+00,819048103,
401942.759999998,137457.329999998,25154102,2025/10/09 15:07:48+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1700 - 1899 BLOCK OF LYMAN PLACE NE,401942.76,137457.33,5,5D,5,507,Cluster 23,008903 2,008903,Precinct 78,38.9049707215,-76.9776019271,,2025/10/08 20:00:00+00,2025/10/09 13:10:00+00,819048104,
399855.240000002,137532.120000001,25154211,2025/10/09 17:51:58+00,DAY,OTHERS,THEFT/OTHER,300 - 308 BLOCK OF M STREET NE,399855.24,137532.12,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.9056465911,-77.0016689533,NOMA,2025/10/09 17:15:00+00,2025/10/09 17:20:00+00,819048105,
